Symbol,AssetType,Name,Description,Sector,Industry
QSR,Common Stock,Restaurant Brands International Inc,"Restaurant Brands International Inc. owns, operates and franchises quick-service restaurants under the Tim Hortons (TH), Burger King (BK) and Popeyes (PLK) brands. The company is headquartered in Toronto, Canada.",TRADE & SERVICES,RETAIL-EATING PLACES
ALG,Common Stock,Alamo Group Inc,"Alamo Group Inc. designs, manufactures, distributes and services agricultural and infrastructure maintenance equipment for government and industrial use worldwide. The company is headquartered in Seguin, Texas.",TECHNOLOGY,FARM MACHINERY & EQUIPMENT
SBUX,Common Stock,Starbucks Corporation,"Starbucks Corporation is an American multinational chain of coffeehouses and roastery reserves headquartered in Seattle, Washington. As the world's largest coffeehouse chain, Starbucks is seen to be the main representation of the United States' second wave of coffee culture.",TRADE & SERVICES,RETAIL-EATING & DRINKING PLACES
CAG,Common Stock,ConAgra Foods Inc,"Conagra Brands, Inc. (formerly ConAgra Foods) is an American consumer packaged goods holding company headquartered in Chicago, Illinois. Conagra makes and sells products under various brand names that are available in supermarkets, restaurants, and food service establishments.",MANUFACTURING,FOOD AND KINDRED PRODUCTS
HRL,Common Stock,Hormel Foods Corporation,"Hormel Foods Corporation is an American company founded in 1891 in Austin, Minnesota, by George A. Hormel as George A. Hormel & Company. Originally focusing on the packaging and selling of ham, Spam, sausage and other pork, chicken, beef and lamb products to consumers; by the 1980s, Hormel began offering a wider range of packaged and refrigerated foods.",MANUFACTURING,MEAT PACKING PLANTS
DPZ,Common Stock,Domino’s Pizza Inc,"Domino's Pizza, Inc., branded as Domino's, is an American multinational pizza restaurant chain founded in 1960. The corporation is headquartered at the Domino's Farms Office Park in Ann Arbor, Michigan.",TRADE & SERVICES,WHOLESALE-GROCERIES & RELATED PRODUCTS
CMG,Common Stock,Chipotle Mexican Grill Inc,"Chipotle Mexican Grill, Inc., often known simply as Chipotle, is an American chain of fast casual restaurants in the United States, United Kingdom, Canada, Germany, and France, specializing in tacos and Mission burritos that are made to order in front of the customer.",TRADE & SERVICES,RETAIL-EATING PLACES
DRI,Common Stock,Darden Restaurants Inc,"Darden Restaurants, Inc. is an American multi-brand restaurant operator headquartered in Orlando.",TRADE & SERVICES,RETAIL-EATING PLACES
GIS,Common Stock,General Mills Inc,"General Mills, Inc., is an American multinational manufacturer and marketer of branded consumer foods sold through retail stores. It is headquartered in Golden Valley, Minnesota, a suburb of Minneapolis.",MANUFACTURING,GRAIN MILL PRODUCTS
TSCO,Common Stock,Tractor Supply Company,"Tractor Supply Company (TSCO) is an American retail chain of stores that offers products for home improvement, agriculture, lawn and garden maintenance, livestock, equine and pet care.",TRADE & SERVICES,"RETAIL-BUILDING MATERIALS, HARDWARE, GARDEN SUPPLY"
MCD,Common Stock,McDonald’s Corporation,"McDonald's Corporation is an American fast food company, founded in 1940 as a restaurant operated by Richard and Maurice McDonald, in San Bernardino, California, United States. They rechristened their business as a hamburger stand, and later turned the company into a franchise, with the Golden Arches logo being introduced in 1953 at a location in Phoenix, Arizona.",TRADE & SERVICES,RETAIL-EATING PLACES
